"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
1980,"E Midlands",1,0,0,0
1981,"E Midlands",1,0,0,0
1982,"E Midlands",1,0,0,0
1983,"E Midlands",1,0,0,0
1984,"E Midlands",1,0,0,0
1985,"E Midlands",1,0,0,0
1986,"E Midlands",1,0,0,0
1987,"E Midlands",1,0,0,0
1988,"E Midlands",1,0,0,0
1989,"E Midlands",1,0,0,0
1990,"E Midlands",1,0,0,0
1991,"E Midlands",1,0,0,0
1992,"E Midlands",1,0,0,0
1993,"E Midlands",1,0,0,0
1994,"E Midlands",1,0,0,0
1995,"E Midlands",1,0,0,0
1996,"E Midlands",1,0,0,0
1997,"E Midlands",1,0,0,0
1998,"E Midlands",1,0,0,0
1999,"E Midlands",1,0,0,0
2000,"E Midlands",1,0.420560747663551,3.26666666666667,33.5897944962537
2001,"E Midlands",1,0,0,0
2002,"E Midlands",1,0,0,0
2003,"E Midlands",1,0,0,0
2004,"E Midlands",1,0.00934579439252336,3,31.2794167200724
2005,"E Midlands",1,0,0,0
2006,"E Midlands",1,0,0,0
2007,"E Midlands",1,0,0,0
2008,"E Midlands",1,0,0,0
2009,"E Midlands",1,0,0,0
2010,"E Midlands",1,0,0,0
2011,"E Midlands",1,0,0,0
2012,"E Midlands",1,0,0,0
2013,"E Midlands",1,0.00934579439252336,3,32.8581043879191
2014,"E Midlands",1,0,0,0
2015,"E Midlands",1,0,0,0
2016,"E Midlands",1,0,0,0
2017,"E Midlands",1,0,0,0
2018,"E Midlands",1,0,0,0
2019,"E Midlands",1,0,0,0
2020,"E Midlands",1,0,0,0
2021,"E Midlands",1,0,0,0
2022,"E Midlands",1,0,0,0
2023,"E Midlands",1,0,0,0
2024,"E Midlands",1,0,0,0
2025,"E Midlands",1,0.682242990654206,3.54794520547945,36.0535720920998
2026,"E Midlands",1,0.0654205607476635,3,31.2503503163656
2027,"E Midlands",1,0.0841121495327103,3,31.3158202347932
2028,"E Midlands",1,0,0,0
2029,"E Midlands",1,0,0,0
2030,"E Midlands",1,0.728971962616822,4.16666666666667,34.8804372493746
2031,"E Midlands",1,0,0,0
2032,"E Midlands",1,0,0,0
2033,"E Midlands",1,0.00934579439252336,3,32.3549086252848
2034,"E Midlands",1,0,0,0
2035,"E Midlands",1,0,0,0
2036,"E Midlands",1,0,0,0
2037,"E Midlands",1,0,0,0
2038,"E Midlands",1,0.0747663551401869,3,32.432245850563
2039,"E Midlands",1,0,0,0
2040,"E Midlands",1,0,0,0
2041,"E Midlands",1,0,0,0
2042,"E Midlands",1,0.654205607476635,4.48571428571429,34.6217666455678
2043,"E Midlands",1,0,0,0
2044,"E Midlands",1,0,0,0
2045,"E Midlands",1,0,0,0
2046,"E Midlands",1,0,0,0
2047,"E Midlands",1,0,0,0
2048,"E Midlands",1,0.420560747663551,3,34.2862799185294
2049,"E Midlands",1,0,0,0
2050,"E Midlands",1,1.8411214953271,3.54822335025381,33.2568861839533
2051,"E Midlands",1,0,0,0
