"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
1980,"E Midlands",1,0,0,0
1981,"E Midlands",1,0,0,0
1982,"E Midlands",1,0,0,0
1983,"E Midlands",1,0,0,0
1984,"E Midlands",1,0,0,0
1985,"E Midlands",1,0,0,0
1986,"E Midlands",1,0,0,0
1987,"E Midlands",1,0,0,0
1988,"E Midlands",1,0,0,0
1989,"E Midlands",1,0,0,0
1990,"E Midlands",1,0,0,0
1991,"E Midlands",1,0,0,0
1992,"E Midlands",1,0,0,0
1993,"E Midlands",1,0,0,0
1994,"E Midlands",1,0,0,0
1995,"E Midlands",1,0,0,0
1996,"E Midlands",1,0,0,0
1997,"E Midlands",1,0,0,0
1998,"E Midlands",1,0,0,0
1999,"E Midlands",1,0,0,0
2000,"E Midlands",1,0,0,0
2001,"E Midlands",1,1,4.60747663551402,32.9077623563392
2002,"E Midlands",1,0,0,0
2003,"E Midlands",1,0,0,0
2004,"E Midlands",1,0,0,0
2005,"E Midlands",1,0,0,0
2006,"E Midlands",1,0.0280373831775701,3,30.5087810092502
2007,"E Midlands",1,0,0,0
2008,"E Midlands",1,0,0,0
2009,"E Midlands",1,0,0,0
2010,"E Midlands",1,0,0,0
2011,"E Midlands",1,0,0,0
2012,"E Midlands",1,0,0,0
2013,"E Midlands",1,0,0,0
2014,"E Midlands",1,0,0,0
2015,"E Midlands",1,0,0,0
2016,"E Midlands",1,0,0,0
2017,"E Midlands",1,0,0,0
2018,"E Midlands",1,0,0,0
2019,"E Midlands",1,0.14018691588785,3,30.6469737370809
2020,"E Midlands",1,0,0,0
2021,"E Midlands",1,0,0,0
2022,"E Midlands",1,0,0,0
2023,"E Midlands",1,0,0,0
2024,"E Midlands",1,0,0,0
2025,"E Midlands",1,0.121495327102804,3,31.3512405004257
2026,"E Midlands",1,0,0,0
2027,"E Midlands",1,0.91588785046729,4.60204081632653,33.0095112550826
2028,"E Midlands",1,0,0,0
2029,"E Midlands",1,0,0,0
2030,"E Midlands",1,0.289719626168224,3,33.0023100247947
2031,"E Midlands",1,0,0,0
2032,"E Midlands",1,0.205607476635514,3,31.1577824534792
2033,"E Midlands",1,0.373831775700935,3.55,31.6703755736351
2034,"E Midlands",1,0,0,0
2035,"E Midlands",1,0,0,0
2036,"E Midlands",1,0.0186915887850467,3,31.0511349042257
2037,"E Midlands",1,0,0,0
2038,"E Midlands",1,0,0,0
2039,"E Midlands",1,0,0,0
2040,"E Midlands",1,0,0,0
2041,"E Midlands",1,0,0,0
2042,"E Midlands",1,0,0,0
2043,"E Midlands",1,0,0,0
2044,"E Midlands",1,0,0,0
2045,"E Midlands",1,0,0,0
2046,"E Midlands",1,0.0934579439252336,4,31.2746436595917
2047,"E Midlands",1,0,0,0
2048,"E Midlands",1,0,0,0
2049,"E Midlands",1,0,0,0
2050,"E Midlands",1,0,0,0
2051,"E Midlands",1,0,0,0
2052,"E Midlands",1,0,0,0
2053,"E Midlands",1,0,0,0
2054,"E Midlands",1,0,0,0
