"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
1980,"E Midlands",1,0,0,0
1981,"E Midlands",1,0,0,0
1982,"E Midlands",1,0,0,0
1983,"E Midlands",1,0,0,0
1984,"E Midlands",1,0,0,0
1985,"E Midlands",1,0,0,0
1986,"E Midlands",1,0,0,0
1987,"E Midlands",1,0,0,0
1988,"E Midlands",1,0.0841121495327103,3.33333333333333,32.4998452575118
1989,"E Midlands",1,0,0,0
1990,"E Midlands",1,0,0,0
1991,"E Midlands",1,0,0,0
1992,"E Midlands",1,0,0,0
1993,"E Midlands",1,0,0,0
1994,"E Midlands",1,0.177570093457944,3.21052631578947,30.9944359461466
1995,"E Midlands",1,1.10280373831776,5.3728813559322,35.7866800942856
1996,"E Midlands",1,0.94392523364486,4.25742574257426,34.0538220037328
1997,"E Midlands",1,0,0,0
1998,"E Midlands",1,0,0,0
1999,"E Midlands",1,0,0,0
2000,"E Midlands",1,1.29906542056075,3.03597122302158,34.4239787386476
2001,"E Midlands",1,0.130841121495327,3,34.1742428825015
2002,"E Midlands",1,0,0,0
2003,"E Midlands",1,0,0,0
2004,"E Midlands",1,0,0,0
2005,"E Midlands",1,0,0,0
2006,"E Midlands",1,0.0186915887850467,3,31.1338675816854
2007,"E Midlands",1,0,0,0
2008,"E Midlands",1,0.0373831775700935,3,31.3525705337524
2009,"E Midlands",1,0,0,0
2010,"E Midlands",1,0.00934579439252336,3,31.2228012084961
2011,"E Midlands",1,0,0,0
2012,"E Midlands",1,0,0,0
2013,"E Midlands",1,0.308411214953271,3,31.3039749029911
2014,"E Midlands",1,0.289719626168224,3.06451612903226,32.4712535335172
2015,"E Midlands",1,0,0,0
2016,"E Midlands",1,0.00934579439252336,3,32.6171417236328
2017,"E Midlands",1,0,0,0
2018,"E Midlands",1,0,0,0
2019,"E Midlands",1,0.0186915887850467,3,32.8317812283834
2020,"E Midlands",1,0,0,0
2021,"E Midlands",1,0.0841121495327103,3,31.9989009433322
2022,"E Midlands",1,0,0,0
2023,"E Midlands",1,0,0,0
2024,"E Midlands",1,0,0,0
2025,"E Midlands",1,1.18691588785047,3.07874015748031,32.9649357970931
2026,"E Midlands",1,0.00934579439252336,4,32.4319162368774
2027,"E Midlands",1,0.411214953271028,4.97727272727273,32.2479174382243
2028,"E Midlands",1,0,0,0
2029,"E Midlands",1,1.76635514018692,3.12698412698413,35.96810527159
2030,"E Midlands",1,1.92523364485981,5.43203883495146,34.5435123509378
2031,"E Midlands",1,0,0,0
2032,"E Midlands",1,0.271028037383178,3,32.4732701860625
2033,"E Midlands",1,2.35514018691589,5.43253968253968,35.5186530726206
2034,"E Midlands",1,0,0,0
2035,"E Midlands",1,0.158878504672897,3,32.5775475969502
2036,"E Midlands",1,0,0,0
2037,"E Midlands",1,0,0,0
2038,"E Midlands",1,0,0,0
2039,"E Midlands",1,0,0,0
2040,"E Midlands",1,0,0,0
2041,"E Midlands",1,0.401869158878505,3.3953488372093,33.31383005778
