Year,Month,Date,UK,E_Midlands,E_of_England,E_Scotland,London,NE_England,N_Scotland,NW_England,SE_England,SW_England,W_Midlands,W_Scotland,Yorks_&_Humber,Channel_Islands,Isle_of_Man,N_Ireland,Wales
1884,1,1884.041667,5.004964291,5.721183488,5.805978789,3.357590925,6.27196159,4.370780691,2.96881013,4.968662829,6.014311032,6.613547903,6.004959303,4.235984013,4.876691107,0,6.076991298,5.580303204,5.742124392
1884,2,1884.125,4.148380544,4.860811861,5.078079254,2.680460853,5.58600884,3.182738179,2.847073132,3.856742886,5.364138308,5.510595289,4.697955822,3.322556338,3.990526318,0,5.009756025,4.588190455,4.297993389
1884,3,1884.208333,5.095035645,5.978767972,6.244368615,3.548784037,6.678726103,4.207017705,3.661171313,5.029739079,6.345901891,6.205051419,5.85231223,4.227569269,5.002090933,0,5.590716535,5.63469988,5.137575132
1884,4,1884.291667,6.16235889,6.803911207,6.766534633,5.047486592,7.182685305,5.113494157,5.439098902,6.140306773,6.826211596,6.746096403,6.600007187,5.98520571,6.045208459,0,6.564936346,6.735218152,6.046292446
1884,5,1884.375,9.656951771,11.07193706,11.42216628,7.965273364,12.0149616,8.90944937,7.433975823,9.728406399,11.50825016,11.02520445,10.75780944,8.413515051,9.811089393,0,9.421441707,9.596026776,9.679150309
1884,6,1884.458333,12.47525707,13.6570815,13.60969844,11.25073577,14.41632795,12.04269069,10.39216695,12.87117354,13.90113625,13.98543805,13.47474512,11.57844209,12.42093912,0,12.39642453,12.45838741,12.34918668
1884,7,1884.541667,14.50133065,16.19237856,16.73343402,12.83329544,17.04371287,13.85525052,12.07756788,14.57292768,16.24206899,15.75486858,15.59454098,13.36658695,14.87900179,0,13.96103038,14.30326724,14.27005173
1884,8,1884.625,15.28667005,17.08631297,17.66960708,13.47551247,18.09150621,14.31039476,13.0377677,15.32775015,17.33548926,16.62684507,16.51618909,13.70002493,15.79800437,0,14.31174954,14.4828629,15.17186638
1884,9,1884.708333,12.9646204,14.33341155,14.78574707,11.00568244,15.29691253,11.82660204,10.84199032,13.08504797,14.75805169,14.50149291,14.13001978,11.65699139,13.15708083,0,13.24296059,12.53531188,13.31787157
1884,10,1884.791667,8.267358544,8.656546547,9.048527277,7.022579254,9.278750716,7.576584233,6.979075853,8.259585227,9.054351444,9.520438561,8.752129018,7.577973218,7.970392212,0,9.160999751,8.714974335,8.769738369
1884,11,1884.875,4.630432086,5.022962999,5.057401042,3.237393611,5.53702411,4.095548597,3.194838939,4.517591161,5.254688763,5.963231202,4.940894693,3.771813337,4.710101755,0,5.65358336,5.684452621,5.335653086
1884,12,1884.958333,3.273600101,3.755250628,4.178126785,1.21140842,4.821831176,2.314752287,1.839573825,2.94092157,4.556432221,4.939460978,3.907858848,2.333094984,2.993674951,0,4.592876806,3.781486445,4.110044999
1885,1,1885.041667,2.005276909,2.047257997,2.064219578,0.579054923,2.46943736,1.525797647,0.702984439,1.969178028,2.30809946,3.414696076,2.163477416,1.619538955,1.684260156,0,3.480902218,3.766733817,2.610317972
1885,2,1885.125,4.240521742,5.261538029,5.714397296,2.286488821,6.43026666,3.253420842,1.482102846,4.125603616,6.046179159,6.312686416,5.392796465,3.025253714,4.209246701,0,4.663479352,4.729308884,4.915645636
