Year,Month,Date,UK,E_Midlands,E_of_England,E_Scotland,London,NE_England,N_Scotland,NW_England,SE_England,SW_England,W_Midlands,W_Scotland,Yorks_&_Humber,Channel_Islands,Isle_of_Man,N_Ireland,Wales
1960,1,1960.041667,8.420225106,10.22990316,11.14949923,5.278793204,11.46075874,6.985319631,5.086451457,8.440661274,11.10100118,10.69116396,9.974648984,6.48670621,9.053350147,0,7.885838941,8.650606605,9.000180592
1960,1,1960.041667,6.320810445,6.407102773,6.943281709,3.55632007,8.414524983,4.117883521,4.552130696,5.856325747,8.094711133,9.657986365,6.967804827,4.225373634,5.471233597,0,7.334684756,8.014598457,7.899203976
1960,1,1960.041667,9.626709291,9.24794573,9.732592779,8.067896609,10.83844933,8.346043467,8.836513899,9.491918555,10.68300508,11.07787528,9.91621806,9.198622888,8.718728856,0,10.18815713,10.96671129,10.50583988
1960,1,1960.041667,9.83593846,11.36186267,11.79244129,7.408539963,12.18599187,8.185530344,7.642453232,10.08186038,11.63957104,11.86116622,11.34957708,8.006796962,10.59290298,0,9.131885781,8.239264017,11.02449561
1960,1,1960.041667,6.500999653,6.922335983,8.101530752,4.19189209,9.492061536,4.608454548,4.957405624,6.062748022,9.264487053,8.454540485,7.433175507,5.58903283,5.949333535,0,7.226170526,6.124368406,6.685586831
1960,1,1960.041667,5.837205004,5.965884583,5.972639297,5.500862941,6.080342497,5.580680428,5.874479754,5.670831153,6.106110296,6.485794907,5.694214534,5.938534034,6.084142052,0,8.005317856,3.761555568,6.403012239
1960,1,1960.041667,4.364234989,3.336404265,2.965991765,4.816020916,3.4903556,4.535432078,5.02498122,4.187679852,3.272878904,4.63138421,2.328112826,4.481990524,4.834441464,0,6.464576013,6.303191479,4.43051753
1960,1,1960.041667,4.638799901,5.412321731,5.763604901,3.552199389,5.114072738,5.293214135,4.205013742,4.790747407,4.009874324,4.167604632,3.534158201,4.402287211,6.076414905,0,5.855747312,5.603574764,4.388327359
1960,1,1960.041667,2.978322018,2.415523291,1.820120327,2.608814068,1.845754417,2.795152868,3.303446887,3.305549204,1.621185282,3.322034974,2.400191314,3.918677374,2.392531097,0,5.207186103,5.45840491,2.730384981
1960,1,1960.041667,4.558494129,4.45895584,3.979163427,4.562990325,3.53457687,4.66309768,5.273979331,4.534803004,2.943376642,3.769828659,4.144002978,4.782415952,4.976185128,0,6.181878139,5.738853285,4.825813256
