Year,Month,Date,UK,E_Midlands,E_of_England,E_Scotland,London,NE_England,N_Scotland,NW_England,SE_England,SW_England,W_Midlands,W_Scotland,Yorks_&_Humber,Channel_Islands,Isle_of_Man,N_Ireland,Wales
1960,1,1960.041667,6.171442135,8.752556146,8.944562264,3.684764072,9.281372216,5.659466332,0.569865964,7.021982866,8.839534671,9.07930963,8.378714308,4.251566306,7.458725116,0,7.226213742,5.17938698,7.340318292
1960,1,1960.041667,0.844810974,2.602897964,2.849689224,-3.604219217,4.483612217,-0.533914346,-4.275633775,0.154622853,4.259815725,5.135764228,3.83156479,-1.683397005,1.387877293,0,3.915872244,1.631220293,2.655374602
1960,1,1960.041667,1.953717635,2.590854438,2.890024348,-2.292982172,6.004916079,-1.987746479,-2.472522111,1.437976365,5.931055162,6.359381475,4.834325696,-1.338483418,-0.088263601,0,4.917666488,5.448532323,5.046437408
1960,1,1960.041667,3.590655043,3.104790757,3.493742538,0.785013032,6.274207992,-0.158326504,1.138559945,3.124927244,6.423470354,7.484131673,5.486669795,1.217879076,1.012381138,0,6.833104272,5.874576838,6.449572184
1960,1,1960.041667,3.398711292,4.95683172,7.321330143,0.301151269,8.567071912,1.152090479,-0.052662406,2.868245183,7.941334153,6.644842658,4.75527591,1.372200371,2.895732312,0,3.941011102,0.413216993,4.333693075
1960,1,1960.041667,0.100449656,0.053217582,0.166520548,0.65119571,0.410156738,0.110008831,1.567106934,0.25641692,-0.686034108,-1.238258924,-0.342819046,1.25712295,0.530165093,0,2.176723798,-1.943421166,-0.825013037
1960,1,1960.041667,-0.431309603,-1.108478815,-1.79230623,-0.161053432,-1.225503623,0.260926438,1.518559436,0.069761552,-1.955943126,-0.933708986,-0.900108286,-0.701635594,0.255852857,0,1.632046366,-1.209467211,-0.592759572
1960,1,1960.041667,-1.506196231,-1.892586103,-0.657836753,-1.430275901,-0.689860279,0.322656364,-0.31129824,-2.420877067,-2.263463855,-1.596926122,-2.650419567,-2.844373872,-0.424042851,0,0.08128951,-1.462000873,-2.836035666
1960,1,1960.041667,-0.461008547,-0.17603594,-0.344488569,-0.453926069,0.3705634,0.84505782,-0.506805024,-0.730676239,-1.017305487,-0.89470445,-1.267772748,-0.261327455,0.61377293,0,1.799318148,-0.211800402,-1.161395935
1960,1,1960.041667,-3.519998988,-2.229351504,-3.004776644,-4.520725777,-2.455765779,-2.806157665,-4.665631276,-3.875198324,-3.209494336,-2.909672909,-2.470076849,-4.772755639,-2.269359358,0,-1.755389201,-4.216506284,-3.586248349
