North	East
NA	NA
6503.08	80304.62
6569.56	80287.39
6632.28	80333.42
6622.25	80501.96
6554.52	80540.23
6489.3	80536.36
6426.69	80490.33
6436.72	80321.78
6503.08	80304.62
NA	NA
6998.74	82426.82
7096.52	82432.61
7160.51	82457.5
7153.04	82583.87
6985.05	82658.54
6919.82	82654.68
6855.95	82629.73
6863.42	82503.35
6998.74	82426.82
NA	NA
7013.87	82723.65
7079.1	82727.5
7204.57	82819.43
7229.67	82947.72
7061.68	83022.4
6936.32	82930.41
6947.51	82740.84
7013.87	82723.65
NA	NA
6496.36	83179.28
6594.14	83185.05
6658.13	83209.93
6650.68	83336.32
6482.7	83411.01
6417.47	83407.17
6353.6	83382.22
6361.05	83255.83
6496.36	83179.28
NA	NA
5924.84	83441.56
6120.4	83453.08
6151.83	83476.05
6144.39	83602.44
6109.24	83642.68
5913.67	83631.16
5883.6	83587.09
5891.04	83460.68
5924.84	83441.56
NA	NA
5363.25	83535.33
5461.04	83541.09
5492.35	83564.05
5521.3	83629.18
5419.8	83686.63
5416.08	83749.83
5349.61	83767.11
5251.83	83761.36
5220.51	83738.32
5227.95	83611.91
5363.25	83535.33
NA	NA
5750.66	83621.56
5876.15	83713.49
5872.43	83776.69
5704.46	83851.41
5639.24	83847.58
5576.6	83801.59
5582.8	83696.22
5750.66	83621.56
NA	NA
14430.48	84533.98
14593.49	84543.58
14656.13	84589.43
14648.7	84715.69
14582.35	84732.87
14321.55	84717.53
14258.8	84671.6
14261.28	84629.58
14430.48	84533.98
NA	NA
14413.15	84828.47
14673.94	84843.81
14736.59	84889.65
14729.16	85015.92
14662.81	85033.1
14402.02	85017.77
14338.03	84992.92
14345.45	84866.65
14413.15	84828.47
NA	NA
5510.49	84368.58
5706.06	84380.06
5736.25	84424.07
5726.36	84592.63
5691.21	84632.87
5495.65	84621.4
5432.9	84575.41
5442.79	84406.84
5510.49	84368.58
NA	NA
12804.81	84923.89
13098.16	84941.13
13223.56	85032.92
13212.44	85222.26
13178.64	85241.44
12983.08	85229.95
12889	85161.09
12789.98	85176.37
12759.79	85132.35
12769.67	84964.08
12804.81	84923.89
NA	NA
6053.5	84590.72
6249.06	84602.2
6280.5	84625.16
6276.79	84688.36
